NUMBER FLUX_APER FLUXERR_APER
901 21852 157
902 22530 158
903 22247 157
904 21869 157
905 22466 158
906 22174 158
907 21719 157
908 22147 157
909 22110 158
910 22303 158
911 22170 158
912 21962 157
913 22189 157
914 22204 158
915 22080 157
916 21983 157
917 22414 158
918 21892 157
919 21851 157
920 21869 157
921 22508 158
922 22548 158
923 22312 158
924 22270 158
925 22135 157
926 22231 158
927 21597 157
928 22102 158
929 22295 158
930 22261 158
931 22218 158
932 22073 157
933 22075 158
934 22059 157
935 22244 158
936 22197 158
937 22083 157
938 21990 157
939 22236 158
940 22277 158
941 22391 158
942 22462 158
943 21936 157
944 22470 158
945 22343 158
946 21900 157
947 21734 157
948 22340 158
949 22222 158
950 21849 157
951 22337 158
952 21638 157
953 21779 157
954 22094 158
955 22046 158
956 22370 158
957 22160 158
958 22008 158
959 22065 158
960 22065 158
961 21954 157
962 22203 158
963 21829 157
964 22371 158
965 22041 157
966 22373 158
967 22140 157
968 21871 157
969 22345 158
970 22031 157
971 21815 157
972 22113 158
973 22195 158
974 22177 158
975 22459 158
976 21730 157
977 21824 157
978 21833 157
979 22044 158
980 22339 158
981 22197 158
982 22232 158
983 21517 157
984 22104 158
985 22296 158
986 22261 158
987 22140 158
988 22397 158
989 22167 158
990 22118 158
991 21924 157
992 22148 158
993 21739 157
994 22039 157
995 21817 157
996 22053 157
997 22044 157
998 21459 156
999 21980 158
1000 22405 158
1001 21900 157
1002 21761 157
1003 21955 157
1004 22092 158
1005 22129 157
1006 22242 157
1007 21793 157
1008 21840 157
1009 22268 158
1010 21730 157
1011 22028 157
1012 21683 157
1013 22241 158
1014 21746 157
1015 22225 158
1016 22318 158
1017 21885 157
1018 22282 157
1019 22246 158
1020 22264 158
1021 22113 158
1022 21843 157
1023 22214 157
1024 21931 157
1025 22370 158
1026 21767 157
1027 22069 158
1028 21853 157
1029 21824 157
1030 22219 158
1031 21828 157
1032 22168 157
1033 22188 158
1034 22241 158
1035 22416 158
1036 22060 157
1037 22230 157
1038 21869 157
1039 22317 158
1040 22066 157
1041 22012 157
1042 21791 157
1043 21765 157
1044 21779 157
1045 22294 158
1046 22028 157
1047 22163 158
1048 22153 157
1049 21914 157
1050 22073 157
1051 22040 157
1052 22065 157
1053 22008 157
1054 21808 157
1055 22236 158
1056 21799 157
1057 22274 158
1058 21703 157
1059 21851 157
1060 22166 158
1061 21787 157
1062 21942 157
1063 22224 158
1064 22095 157
1065 22040 157
1066 22126 158
1067 22274 158
1068 21764 157
1069 21813 157
1070 22045 157
1071 21529 157
1072 21618 157
1073 21570 156
1074 22273 157
1075 22204 157
1076 22192 158
1077 22392 158
1078 21574 156
1079 21950 157
1080 22004 157
1081 21693 156
1082 21861 157
1083 21667 157
1084 21950 157
1085 22084 157
1086 21652 157
1087 21848 157
1088 21508 156
1089 22022 157
1090 22328 158
1091 21571 157
1092 21789 157
1093 21802 157
1094 21867 157
1095 21658 157
1096 21489 157
1097 21846 157
1098 21616 157
1099 21515 157
1100 21620 157
1101 21677 157
1102 21889 157
1103 21478 157
1104 21219 156
1105 21508 157
1106 21793 157
1107 21982 158
1108 21606 157
1109 21591 157
1110 21583 157
1111 21656 157
1112 21452 157
1113 21686 157
1114 21363 157
1115 22051 158
1116 21933 157
1117 21626 157
1118 21605 157
1119 21978 157
1120 21779 157
1121 21518 156
1122 21410 157
1123 21740 157
1124 21696 157
1125 21723 157
1126 21795 157
1127 21381 156
1128 20940 156
1129 22045 157
1130 21358 157
1131 21646 157
1132 21415 157
1133 22059 158
1134 21937 157
1135 21603 157
1136 21825 157
1137 21542 157
1138 21671 157
1139 21357 157
1140 21975 157
1141 21823 157
1142 21499 157
1143 21353 156
1144 21629 157
1145 21410 157
1146 21408 156
1147 21542 157
1148 21373 157
1149 21567 157
1150 21426 157
1151 21381 156
1152 21507 157
1153 21606 157
1154 21540 156
1155 21562 156
1156 21500 157
1157 21490 157
1158 21613 157
1159 21425 157
1160 21760 157
1161 21533 157
1162 21660 157
1163 21737 157
1164 21471 157
1165 21736 157
1166 21816 157
1167 21602 157
1168 21684 157
1169 21637 157
1170 21290 156
1171 21614 157
1172 21391 156
1173 21979 158
1174 21771 157
1175 21470 157
1176 21558 157
1177 21450 156
1178 21555 157
1179 21577 157
1180 21286 156
1181 21684 157
1182 21374 156
1183 21868 157
1184 21501 157
1185 21784 157
1186 21855 157
1187 21935 157
1188 21711 157
1189 22003 157
1190 21729 157
1191 21734 157
1192 21642 157
1193 21356 157
1194 21642 157
1195 21614 157
1196 21613 157
1197 21649 157
1198 21272 156
1199 21704 157
1200 21295 156
1201 21609 157
1202 21777 157
1203 21608 157
1204 21667 157
1205 21248 156
1206 21395 156
1207 21910 157
1208 21895 157
1209 21205 156
1210 21354 156
1211 21421 156
1212 21604 157
1213 21557 156
1214 21738 157
1215 21903 157
1216 21865 157
1217 21994 157
1218 21914 157
1219 20981 156
1220 21615 157
1221 22112 158
1222 21614 157
1223 21742 157
1224 21286 156
1225 21422 156
1226 21317 156
1227 21432 157
1228 21248 157
1229 21954 157
1230 21525 157
1231 21479 157
1232 21660 157
1233 21540 157
1234 21365 156
1235 21268 156
1236 21258 156
1237 21797 157
1238 21711 157
1239 21752 157
1240 21463 157
1241 21255 156
1242 21594 157
1243 21668 157
1244 21280 157
1245 21699 157
1246 21528 157
1247 21524 157
1248 22008 157
1249 21365 156
1250 21633 157
1251 21341 157
1252 21332 157
1253 21792 157
1254 22004 157
1255 21316 156
1256 21614 157
1257 21503 156
1258 21448 157
1259 21497 157
1260 21612 157
1261 21604 157
1262 21761 157
1263 21704 157
1264 21353 157
1265 21432 157
1266 21574 157
1267 22184 158
1268 21254 157
1269 21094 156
1270 21289 156
1271 21409 157
1272 21245 157
1273 21440 157
1274 21679 157
1275 21354 157
1276 21788 157
1277 21406 157
1278 21883 157
1279 21520 157
