NUMBER FLUX_APER FLUXERR_APER
901 87839 238
902 88298 238
903 86548 237
904 87763 238
905 87155 237
906 88488 239
907 87513 238
908 87192 237
909 87976 238
910 87894 238
911 87987 238
912 88091 238
913 87301 237
914 87951 238
915 87755 238
916 87403 237
917 87796 238
918 86941 237
919 87307 238
920 88451 239
921 87595 238
922 88503 239
923 86415 236
924 86857 237
925 88384 238
926 88284 238
927 87380 237
928 86471 237
929 86952 237
930 88430 238
931 88005 238
932 88886 239
933 87334 238
934 88305 238
935 86960 237
936 87280 237
937 86234 236
938 88769 239
939 87994 238
940 88679 239
941 88204 238
942 86807 237
943 88455 239
944 88578 239
945 87835 238
946 88032 238
947 87562 238
948 87719 238
949 87945 238
950 88105 238
951 87155 237
952 87028 237
953 87708 238
954 87926 238
955 87547 238
956 87568 238
957 86841 237
958 87285 238
959 88290 238
960 88016 238
961 87354 238
962 87801 238
963 87881 238
964 87854 238
965 87356 237
966 87771 238
967 88258 238
968 88265 238
969 87379 238
970 87419 237
971 88240 238
972 88017 238
973 87685 238
974 88032 238
975 86842 237
976 87144 237
977 87536 238
978 87486 238
979 87393 238
980 87265 238
981 87520 238
982 86615 237
983 88005 238
984 86331 237
985 87165 238
986 85810 236
987 85410 236
988 85350 236
989 85429 236
990 85045 235
991 85827 236
992 84901 235
993 87245 237
994 87333 237
995 87641 238
996 87654 238
997 86295 236
998 87641 238
999 87514 238
1000 88533 239
1001 87465 238
1002 88086 238
1003 87798 238
1004 87246 237
1005 88034 238
1006 87024 237
1007 88234 238
1008 86755 237
1009 87341 238
1010 87864 238
1011 87185 237
1012 88978 239
1013 87335 237
1014 87538 238
1015 85839 236
1016 86752 237
1017 87573 238
1018 87378 237
1019 87805 238
1020 87417 238
1021 87977 238
1022 88571 239
1023 87474 238
1024 86714 237
1025 87076 237
1026 86709 237
1027 87613 238
1028 87563 238
1029 87733 238
1030 88079 238
1031 87050 237
1032 88484 238
1033 87047 237
1034 87141 237
1035 87646 238
1036 88068 238
1037 87867 238
1038 87899 238
1039 87380 237
1040 87985 238
1041 87730 238
