NUMBER FLUX_APER FLUXERR_APER
901 6932 132
902 6545 131
903 6740 131
904 6839 132
905 6735 132
906 6562 132
907 6708 132
908 6797 132
909 6991 132
910 6877 132
911 6813 132
912 6751 132
913 6536 131
914 6893 132
915 6866 132
916 6695 131
917 6538 131
918 6527 132
919 6653 132
920 6472 132
921 6885 132
922 6755 132
923 6794 132
924 6797 132
925 6555 131
926 6598 131
927 6991 132
928 6743 132
929 6446 131
930 6988 132
931 6425 131
932 6738 132
933 6756 132
934 6678 132
935 6653 132
936 6882 132
937 6651 132
938 7094 132
939 6957 132
940 6732 132
941 6822 132
942 6863 132
943 6767 132
944 6989 132
945 6731 132
946 6760 132
947 6614 132
948 6712 132
949 6727 132
950 6842 132
951 6782 132
952 6654 132
953 6693 132
954 6613 132
955 6709 132
956 6722 132
957 6789 132
958 6678 132
959 6815 132
960 6663 132
961 6695 132
962 7028 132
963 6769 132
964 7024 133
965 6820 132
966 6682 132
967 6837 132
968 6856 132
969 6781 132
970 6764 132
971 6807 132
972 6684 132
973 6813 132
974 6982 132
975 6638 132
976 6762 132
977 6747 132
978 6871 132
979 6697 132
980 6622 132
981 7066 133
982 7034 133
983 6883 133
984 6704 132
985 6489 132
986 6790 132
987 6530 132
988 6661 132
989 6826 132
990 6833 132
991 6533 132
992 6890 132
993 6881 132
994 6608 131
995 6798 132
996 6558 131
997 6747 132
998 6637 131
999 6732 132
1000 6872 132
1001 6664 132
1002 6644 132
1003 6828 132
1004 6869 132
1005 6874 132
1006 6958 132
1007 6844 132
1008 6682 131
1009 6789 132
1010 6855 132
1011 6748 132
1012 6851 132
1013 6941 132
1014 6978 132
1015 6855 132
1016 6788 132
1017 6739 132
1018 6853 132
1019 6889 132
1020 6705 132
1021 6773 132
1022 6752 132
1023 6832 132
1024 6879 132
1025 6569 131
1026 6470 131
1027 6472 131
1028 6770 132
1029 7068 132
1030 6832 132
1031 6920 132
1032 6957 132
1033 6833 132
1034 6677 132
1035 6498 131
1036 6839 132
1037 6889 132
1038 6738 132
1039 6871 132
1040 6685 131
1041 6810 131
1042 6959 132
1043 6934 132
1044 6721 131
1045 6613 132
1046 6635 132
1047 6998 132
1048 6796 132
1049 6710 132
1050 6633 131
1051 6841 132
1052 7136 132
1053 6695 131
1054 6801 132
1055 6970 132
1056 6822 131
1057 6993 132
1058 6965 132
1059 6693 131
1060 6798 132
1061 6765 132
1062 6993 132
1063 6907 132
1064 6800 132
1065 6530 131
1066 6853 132
1067 6984 132
1068 6798 132
1069 6695 132
1070 6839 132
1071 7024 132
1072 6848 132
1073 6801 131
1074 6442 131
1075 6646 131
1076 6642 131
1077 6787 131
1078 6714 131
1079 7035 132
1080 6636 131
1081 6936 132
1082 6535 131
1083 6745 131
1084 6777 131
1085 6747 131
1086 6771 132
1087 6713 132
1088 6759 132
1089 6779 132
1090 6793 132
1091 6676 132
1092 6688 132
1093 6608 132
1094 6671 132
1095 7059 133
1096 6716 132
1097 6936 132
1098 6825 133
1099 6686 132
1100 6903 132
1101 6731 132
1102 6955 132
1103 6825 132
1104 6838 132
1105 6852 133
1106 6913 133
1107 6749 132
1108 6947 132
1109 6784 132
1110 6694 132
1111 6561 132
1112 6721 132
1113 6769 132
1114 6771 132
1115 6660 132
1116 6674 132
1117 6666 132
1118 6503 131
1119 6955 132
1120 6786 132
1121 6784 132
1122 6632 132
1123 6738 132
1124 6765 132
1125 6944 132
1126 6712 132
1127 6568 131
1128 6691 132
1129 6608 132
1130 6617 132
1131 6752 132
1132 6601 132
1133 6797 132
1134 6871 132
1135 6942 132
1136 6786 132
1137 6917 132
1138 6834 133
1139 6880 132
1140 6926 132
1141 6711 132
1142 6744 132
1143 6705 131
1144 6805 132
1145 6879 132
1146 6506 131
1147 6557 132
1148 6875 132
1149 6731 132
1150 6695 132
1151 6650 131
1152 6845 132
1153 6753 132
1154 6745 132
1155 6731 132
1156 6814 132
1157 6886 132
1158 6731 132
1159 6672 132
1160 6647 132
1161 6707 132
1162 6700 132
1163 6386 131
1164 6659 132
1165 6685 132
1166 6929 132
1167 6735 132
1168 6710 132
1169 6925 133
1170 6880 132
1171 6748 132
1172 6789 132
1173 6888 132
1174 6828 132
1175 6882 132
1176 6802 132
1177 6925 132
1178 6686 132
1179 6659 132
1180 6821 132
1181 6745 132
1182 6507 131
1183 6889 132
1184 6598 132
1185 6547 131
1186 6432 131
1187 6695 132
1188 6600 132
1189 6367 131
1190 6939 132
1191 6758 132
1192 6898 132
1193 6626 132
1194 6783 132
1195 6827 132
1196 6693 132
1197 6604 132
1198 7018 132
1199 6799 132
1200 6748 132
1201 6449 132
1202 6733 132
1203 6695 132
1204 6709 132
1205 6672 132
1206 6786 132
1207 6894 132
1208 6542 131
1209 6560 131
1210 6858 132
1211 6788 132
1212 6763 132
1213 7056 132
1214 6837 132
1215 6662 131
