NUMBER FLUX_APER FLUXERR_APER
1310 179161 318
1311 176608 316
1312 178370 317
1313 178794 317
1314 178775 317
1315 176199 315
1316 177751 317
1317 179518 318
1318 178093 317
1319 176084 315
1320 175716 315
1321 176097 315
1322 178686 317
1323 177206 316
1324 177552 317
1325 178786 317
1326 177872 317
1327 177448 317
1328 176732 316
1329 178191 317
1330 177903 317
1331 177468 316
1332 179945 318
1333 177466 316
1334 180601 319
1335 177900 317
1336 175887 315
1337 175647 315
1338 179057 318
1339 177681 316
1340 178087 317
1341 178505 317
1342 179257 318
1343 179251 318
1344 176443 315
1345 177923 316
1346 179785 318
1347 177882 317
1348 179423 318
1349 178870 317
1350 177497 316
1351 179294 318
1352 175916 315
1353 177743 317
1354 176473 316
1355 174295 314
1356 176078 315
1357 177377 316
1358 177796 317
1359 177848 317
1360 177801 317
1361 179812 318
1362 178405 317
1363 177734 317
1364 178721 317
1365 175888 315
1366 177506 316
1367 177671 316
1368 177020 316
1369 179425 318
1370 176885 316
1371 176758 316
1372 178308 317
1373 180446 319
1374 176796 316
1375 183268 321
1376 178595 317
1377 179714 318
1378 176320 315
1379 182187 320
1380 178256 317
1381 178005 317
1382 179078 318
1383 181288 319
1384 176830 316
1385 178142 317
1386 180396 319
1387 177684 316
1388 176128 316
1389 177736 316
1390 177715 317
1391 179729 318
1392 178850 318
1393 179711 318
1394 176115 315
1395 180082 318
1396 175698 315
1397 175940 315
1398 178701 317
1399 179210 318
1400 177696 317
1401 181372 319
1402 176213 315
1403 179966 318
1404 177036 316
1405 176878 316
1406 176975 316
1407 176162 315
1408 175433 315
1409 178849 318
1410 175479 315
1411 156122 300
1412 178580 317
1413 179518 318
1414 180790 319
1415 178738 317
1416 179066 318
1417 175941 315
1418 177325 316
1419 177723 317
1420 175326 315
1421 180678 319
1422 177789 317
1423 177413 316
1424 180817 319
1425 180788 319
1426 176653 316
1427 179666 318
1428 178826 317
1429 174257 314
1430 179297 318
1431 176264 315
1432 177929 317
1433 180394 318
1434 180818 319
1435 179167 318
1436 175780 315
1437 178807 317
1438 179503 318
1439 178164 317
1440 178267 317
1441 179319 318
1442 179539 318
1443 181620 319
1444 177142 316
1445 176557 316
1446 177517 316
1447 176783 316
1448 176072 315
1449 176406 316
1450 177986 317
1451 181000 319
1452 177664 316
1453 178717 317
1454 177650 316
1455 175443 315
1456 178020 317
1457 177632 316
1458 175088 315
1459 180057 318
1460 178868 317
1461 175173 315
1462 174942 314
1463 177025 316
1464 174895 314
1465 177164 316
1466 178256 317
1467 176632 316
1468 178401 317
1469 176393 315
1470 174135 314
1471 180279 319
1472 177810 317
1473 175705 315
1474 178708 317
1475 172907 313
1476 177791 317
1477 176236 315
1478 174608 314
1479 177295 316
1480 175716 315
1481 177426 316
1482 176180 315
1483 176084 315
1484 176660 316
1485 177365 316
1486 174060 314
1487 176394 316
1488 173843 314
1489 173527 313
1490 175108 315
1491 175678 315
1492 175699 315
1493 175939 315
1494 174057 314
1495 175330 315
1496 175757 315
1497 178614 317
1498 175326 315
1499 176663 316
1500 176671 316
1501 176291 315
1502 175841 315
1503 175425 315
1504 177739 317
1505 174966 315
1506 172771 313
1507 170614 312
1508 154949 299
1509 168999 310
1510 170495 312
1511 173684 314
1512 177540 317
1513 117614 269
1514 91400 246
1515 125806 277
1516 177936 317
1517 172812 314
1518 9796 168
1521 116082 271
1522 33437 196
1526 40641 201
1527 155299 302
1528 74346 232
1530 49817 213
1629 41316 203
1630 173940 317
1631 175018 317
1632 154395 302
1633 42105 212
1634 53281 221
1635 102859 263
1636 84692 247
1640 22933 189
1641 98383 258
1642 49669 211
1643 140967 291
1644 62781 228
1646 164936 309
1647 111771 265
1648 161702 306
1649 116227 270
1650 123670 275
1651 157660 303
1652 174993 316
1653 168578 311
1654 169406 312
1655 168115 311
1656 157435 303
1657 169028 311
1658 174433 315
1659 171162 313
1660 117937 271
1661 71444 229
1662 153000 299
1663 163710 308
1664 95157 253
1841 29445 187
1842 20096 175
1843 93856 250
1844 162908 308
1845 164544 309
1846 102428 262
1847 59020 220
1850 152376 301
1851 115717 272
1852 103168 261
1853 10877 171
1860 18539 178
1862 146540 296
1863 105607 263
1880 106785 263
1881 151024 298
1882 162090 306
1883 175014 316
1884 172460 314
1885 175715 316
1886 171649 313
1887 172289 314
1888 172820 314
1889 173188 314
1890 176173 317
1891 171487 313
1892 177023 317
1893 169999 312
1894 170363 312
1895 174591 315
1896 176321 316
1897 174991 315
1898 173330 314
1899 172008 313
1900 174996 315
1901 175333 316
1902 175508 316
1903 174176 315
1904 174962 315
1905 175680 316
1906 176451 316
1907 175833 316
1908 138975 288
1909 77188 237
1910 91905 250
1911 171057 313
1912 174930 315
1913 176074 316
1914 173850 314
1915 173370 314
1916 175030 315
1917 174490 315
1918 175820 316
1919 175090 315
1920 93804 248
1921 80052 234
1922 176518 317
1923 175032 315
1924 172969 314
1925 170158 311
1926 173606 314
1927 136938 285
1928 174647 315
1929 170308 312
1930 168459 310
1931 171939 313
1932 175228 315
1933 178634 318
1934 174361 315
1935 45924 199
1936 119233 271
1937 68356 224
1938 135571 285
1939 128040 279
1940 128401 279
1941 60937 218
1942 9735 159
1943 93097 248
1944 174893 315
1945 156267 301
1946 54655 209
1947 75038 229
1948 165349 308
1949 173747 314
1950 170056 312
1951 154605 300
1952 131882 282
1953 122719 274
1954 40487 193
1955 151121 298
1956 126303 277
1960 11729 166
1961 96955 252
1962 77504 233
1963 99852 254
1964 143367 292
1965 135308 285
1966 32520 188
1967 32383 187
1968 53315 213
1969 52102 209
1970 13237 166
1971 49980 205
1972 23704 180
1973 40934 197
1976 29343 186
1977 85254 240
1978 144485 292
1979 172111 313
1980 176565 317
1981 172023 313
1982 173390 314
1983 164930 308
1985 47046 203
1987 28591 185
1989 26575 187
1990 41974 198
1991 157685 303
1992 75447 233
1995 109118 264
1996 27923 184
2006 139956 289
2007 154173 300
2008 147527 295
2009 101182 255
2010 35634 190
2011 173155 314
2012 160602 305
2013 131179 282
2014 174588 315
2015 173454 314
2016 176071 316
2017 172820 314
2018 176016 316
2019 173465 315
2020 167742 311
2021 172338 314
2022 105565 259
2023 170348 313
2024 15584 171
2034 143635 294
2035 178639 320
2036 172837 315
2037 175438 317
2038 176012 317
2039 172261 314
2040 79772 238
2041 175306 316
2042 176542 317
2043 176657 317
2044 175817 316
2045 175650 316
2046 174772 316
2047 176350 317
2048 178683 318
2049 175124 315
2050 174211 315
2051 177507 317
2052 177003 317
2053 173312 314
2054 175575 316
2055 171747 313
2056 174656 315
2057 173989 315
2058 173399 314
2059 172849 314
2060 174893 316
2061 173085 314
2062 170058 312
2063 89063 248
2064 17588 185
2075 82612 243
2076 101631 261
2083 37628 198
2088 9425 166
2098 20080 181
2099 67717 228
2157 34160 204
2158 116732 276
2159 37214 208
