NUMBER FLUX_APER FLUXERR_APER
0 27225 170
1 27225 170
2 27407 170
3 27401 170
4 27308 170
5 27487 170
6 27487 170
7 27367 170
8 27676 170
9 27123 169
10 27661 170
11 27428 170
12 27378 170
13 27135 169
14 27530 170
15 27364 170
16 27111 169
17 27187 169
18 27275 170
19 27390 170
20 27602 170
21 27118 170
22 27198 169
23 27501 170
24 27441 170
25 27014 170
26 27000 171
27 27233 171
28 27929 172
29 27100 170
30 27591 171
31 27172 170
32 27536 171
33 27104 170
34 27388 170
35 27478 171
36 27249 170
37 27584 170
38 27180 170
39 27471 170
40 27097 171
41 27589 172
42 27576 171
43 27295 171
44 27451 170
45 27282 171
46 26992 170
47 26852 169
48 27277 170
49 27017 169
50 26669 170
51 27268 171
52 26524 170
53 27571 171
54 27089 169
55 27516 170
56 27236 169
57 27441 170
58 27168 170
59 27507 170
60 27631 170
61 27500 170
62 27533 170
63 27488 170
64 27608 170
65 27383 170
66 27562 170
67 27140 170
68 27243 169
69 27272 170
70 27201 170
71 27186 169
72 27266 170
73 27742 170
74 27234 170
75 27124 170
76 27267 169
77 27427 170
78 27622 170
79 27710 170
80 27199 169
81 27379 170
82 27234 170
83 27301 170
84 27211 170
85 27281 170
86 27393 170
87 26904 169
88 27317 169
89 27434 170
90 27004 169
91 27739 170
92 27571 170
93 27573 170
94 27362 170
95 27038 169
96 27451 170
97 27547 170
98 27358 170
99 27612 170
100 27423 170
101 27143 170
102 27402 170
103 27669 170
104 27865 170
105 27467 170
106 27281 170
107 27805 170
108 27098 169
109 27409 169
110 27558 170
111 27243 170
112 27186 170
113 27360 170
114 27452 170
115 27175 169
116 27199 169
117 27914 170
118 27280 170
119 27372 170
120 27320 170
121 27299 169
122 27487 170
123 27696 170
124 27303 170
125 27458 170
126 27725 170
127 27178 169
128 27602 170
129 27245 169
130 27627 170
131 27417 170
132 27295 170
133 26776 169
134 27212 169
135 27194 169
136 27464 170
137 26991 169
138 27128 169
139 26804 169
140 27552 170
141 26865 169
142 27406 170
143 27052 169
144 27275 170
145 27404 170
146 27523 170
147 27378 170
148 27489 170
149 27230 169
150 27367 170
151 27371 169
152 27175 169
153 27049 169
154 27222 169
155 27082 169
156 27627 170
157 26694 169
158 27555 170
159 27223 169
160 27160 170
161 27423 170
162 27511 170
163 27130 169
164 26905 169
165 27241 169
166 27539 170
167 27746 170
168 27246 170
169 27475 170
170 27169 169
171 27271 169
172 27812 170
173 27111 169
174 27100 169
175 27724 170
176 27461 170
177 27301 169
178 27419 170
179 27491 170
180 27039 169
181 27268 170
182 27287 170
183 27342 169
184 27201 170
185 27578 170
186 27476 170
187 27357 170
188 27568 170
189 27482 170
190 26987 169
191 27142 169
192 27288 170
193 27115 169
194 27362 170
195 27155 169
196 27076 169
197 27417 169
198 27519 170
199 27209 169
200 27277 169
201 27352 169
202 27118 169
203 27112 169
204 27296 169
205 27002 169
206 27465 170
207 27173 169
208 27222 169
209 27074 169
210 26959 169
211 27272 169
212 27118 169
213 26428 168
214 27015 169
215 27244 170
216 27152 169
217 27395 169
218 27361 170
219 27292 170
220 27172 170
221 27537 170
222 27755 170
223 27090 169
224 27571 170
225 27068 169
226 27356 170
227 27377 169
228 26977 169
229 27527 170
230 27063 169
231 27313 169
232 27101 169
233 27343 169
234 27057 169
235 27264 169
236 26886 169
237 27188 169
238 26966 169
239 27228 169
240 27158 169
241 27095 169
242 27357 170
243 26840 169
244 26878 169
245 27463 169
246 26786 169
247 27221 170
248 26992 169
249 27041 169
250 27175 169
251 26862 169
252 27686 170
253 27081 169
254 27324 170
255 27181 169
256 27487 170
257 27559 170
258 27151 169
259 26761 169
260 27635 170
261 26910 169
262 27360 170
263 26734 169
264 27224 169
265 26703 168
266 27649 170
267 27013 169
268 27073 169
269 27227 169
270 27235 169
271 27037 169
272 27017 169
273 27078 169
274 26850 169
275 27477 170
276 26842 169
277 27010 169
278 27209 169
279 27631 170
280 27370 169
281 27450 169
282 27021 169
283 27193 169
284 27356 170
285 26934 169
286 27414 170
287 27230 169
288 27089 169
289 27092 169
290 27155 169
291 27360 169
292 26909 169
293 27348 170
294 27248 169
295 27351 170
296 27330 169
297 27175 169
298 27183 169
299 27128 169
300 27478 170
301 26921 169
302 27583 170
303 27267 169
304 27187 169
305 27084 169
306 27262 169
307 27459 169
308 27104 169
309 27236 169
310 27053 169
311 27632 170
312 27154 169
313 27522 170
314 27258 169
315 27151 169
316 27864 170
317 27655 170
318 26819 169
319 27260 169
320 27089 169
321 27119 169
322 26970 169
323 27057 169
324 27356 170
325 27195 169
326 26970 169
327 27369 170
328 27406 170
329 26970 169
330 27270 170
331 26768 168
332 27378 170
333 27245 169
334 26840 169
335 26887 169
336 27523 170
337 27332 169
338 27013 169
339 27024 169
340 26991 169
341 27021 169
342 27149 169
343 27289 169
344 27171 169
345 27109 169
346 27131 169
347 27282 170
348 27073 169
349 26977 169
350 27301 169
351 27227 169
352 27440 170
353 27080 169
354 27079 169
355 27351 170
356 27354 169
357 27213 169
358 26592 169
359 27032 169
360 27211 169
361 27030 169
362 26776 169
363 27419 170
364 26909 169
365 27499 170
366 27502 169
367 27465 170
368 27135 169
369 27189 169
370 27058 169
371 27027 169
372 27305 169
373 26802 169
374 27086 169
375 27328 170
376 27278 169
377 27211 169
378 27097 169
379 27436 170
380 26950 169
381 27364 170
382 27022 169
383 27300 170
384 27019 169
385 27624 170
386 26990 169
387 27239 169
388 27333 169
389 27226 169
390 27004 169
391 27022 169
392 27427 170
393 27511 170
394 27611 170
395 26875 169
396 26794 169
397 26887 169
398 26976 169
399 27504 170
400 27156 169
401 27196 169
402 27337 170
403 26777 169
404 27304 170
405 27359 170
406 27005 169
407 27466 170
408 27069 169
409 26868 169
410 26802 169
411 26951 169
412 26867 169
413 27280 169
414 27572 170
415 27040 169
416 27221 170
417 27128 169
418 26758 169
419 27199 169
420 27251 169
421 26985 169
422 26821 169
423 27312 170
424 27312 169
425 27136 169
426 16139 153
427 26681 168
428 22642 163
429 27075 169
430 27011 169
431 26745 168
432 27291 169
433 27714 170
434 27189 169
435 27480 170
436 27124 169
437 27421 169
438 27367 169
439 27059 169
