NUMBER FLUX_APER FLUXERR_APER
901 7348 133
902 7164 132
903 7148 132
904 7192 132
905 7513 133
906 7353 133
907 7394 133
908 7257 133
909 7125 133
910 7125 132
911 7424 133
912 7157 132
913 7146 132
914 7265 133
915 7235 132
916 7293 132
917 7144 132
918 7298 133
919 7318 133
920 7461 133
921 7488 133
922 7282 133
923 7216 133
924 7382 133
925 7101 132
926 7078 132
927 7333 133
928 7515 133
929 7500 133
930 6943 132
931 7173 133
932 7329 133
933 7228 133
934 7459 133
935 7241 133
936 7139 133
937 7252 133
938 7151 132
939 7033 132
940 6963 132
941 7505 133
942 7214 133
943 7261 133
944 7431 133
945 7127 133
946 7308 133
947 7319 133
948 7446 133
949 7052 132
950 7554 133
951 7269 133
952 7447 133
953 7324 133
954 7105 133
955 7285 134
956 7361 133
957 7285 133
958 7229 133
959 7249 133
960 7068 133
961 7386 133
962 7461 133
963 7237 133
964 7323 133
965 7254 133
966 7100 133
967 7010 132
968 7357 133
969 7431 133
970 7403 133
971 7447 133
972 7153 133
973 7254 133
974 6898 132
975 7168 133
976 7210 133
977 7567 134
978 7148 133
979 7421 133
980 7140 133
981 7290 133
982 7372 133
983 7166 133
984 7111 133
985 7061 133
986 7183 133
987 7247 133
988 7368 133
989 7328 133
990 7256 133
991 7219 133
992 7281 133
993 7239 133
994 7336 133
995 7284 133
996 7435 133
997 7154 132
998 7077 132
999 7021 133
1000 6944 132
1001 7498 133
1002 7261 133
1003 7134 132
1004 7435 133
1005 7368 133
1006 7175 132
1007 7564 133
1008 7184 132
1009 7436 133
1010 7228 133
1011 7276 133
1012 7376 133
1013 7532 133
1014 7216 133
1015 7421 133
1016 7169 133
1017 7485 133
1018 7288 132
1019 7292 133
1020 7133 133
1021 7028 132
1022 7351 133
1023 7292 133
1024 7338 133
1025 7188 133
1026 7460 133
1027 7611 133
1028 7247 133
1029 7379 133
1030 7148 133
1031 7442 133
1032 7128 132
1033 6941 132
1034 7121 132
1035 7692 134
1036 7213 133
1037 7403 133
1038 7357 133
1039 7549 133
1040 7297 133
1041 7264 132
1042 7274 133
1043 7483 133
1044 7154 132
1045 6962 132
1046 7400 133
1047 7276 133
1048 7197 132
1049 7437 133
1050 7250 132
1051 7359 133
1052 7458 133
1053 7059 132
1054 7187 133
1055 7296 133
1056 7228 132
1057 7186 132
1058 7166 133
1059 7304 133
1060 7136 132
1061 7666 133
1062 7281 132
1063 7357 133
1064 7353 133
1065 7520 133
1066 6794 132
1067 7226 133
1068 7237 133
1069 7132 132
1070 7051 132
1071 7382 133
1072 7004 132
1073 7151 132
1074 7453 133
1075 7215 132
1076 7387 133
1077 7175 132
1078 7096 132
1079 7394 132
1080 7328 132
1081 7194 132
1082 7227 132
1083 7159 132
1084 7412 132
1085 7317 133
1086 7291 133
1087 7180 132
1088 7345 133
1089 7268 133
1090 7420 133
1091 7118 132
1092 7358 133
1093 7249 133
1094 7077 133
1095 7265 133
1096 7307 133
1097 7255 133
1098 7278 133
1099 7318 133
1100 7386 133
1101 7491 133
1102 7522 133
1103 7121 133
1104 7498 133
1105 7327 133
1106 7109 133
1107 7506 134
1108 7099 133
1109 7356 133
1110 7417 134
1111 7349 133
1112 7147 133
1113 7510 133
1114 7398 133
1115 7448 134
1116 7234 133
1117 7602 134
1118 7260 133
1119 7323 133
1120 7159 132
1121 7257 133
1122 7569 133
1123 7335 133
1124 7335 133
1125 7488 133
1126 7171 133
1127 7293 133
1128 7339 133
1129 7307 133
1130 7514 133
1131 6996 132
1132 7236 133
1133 7491 134
1134 7287 133
1135 7161 133
1136 7485 133
1137 7325 133
1138 7510 134
1139 7233 133
1140 7143 132
1141 7500 133
1142 7683 134
1143 7455 133
1144 7586 133
1145 7365 133
1146 7344 133
1147 7371 133
1148 7110 133
1149 7296 133
1150 7411 133
1151 7209 132
1152 7172 133
1153 7451 134
1154 7210 132
1155 7142 132
1156 7026 132
1157 7095 133
1158 7328 133
1159 7319 133
1160 7164 133
1161 7342 133
1162 7296 133
1163 7118 132
1164 7575 133
1165 7125 133
1166 7476 133
1167 7339 133
1168 6857 132
1169 7550 134
1170 7131 133
1171 7075 133
1172 7219 132
1173 7417 133
1174 7217 133
1175 7289 133
1176 7256 133
1177 7445 133
1178 7445 133
1179 7106 133
1180 7393 133
1181 7059 132
1182 7303 133
1183 7158 132
1184 7287 133
1185 7341 133
1186 7273 133
1187 7123 133
1188 7262 133
1189 7398 133
1190 7347 133
1191 7329 133
1192 7270 133
1193 7320 133
1194 7246 133
1195 7262 133
1196 7286 133
1197 7141 133
1198 6963 132
1199 7374 133
1200 7430 133
1201 7309 133
1202 7382 133
1203 7303 133
1204 6965 133
1205 7352 133
1206 7250 133
1207 7085 133
1208 7194 133
1209 7141 132
1210 7085 132
1211 7321 133
1212 7492 133
1213 7203 132
1214 7395 133
1215 7339 133
1216 7478 133
1217 7300 133
1218 7249 133
