NUMBER FLUX_APER FLUXERR_APER
0 250259 370
1 250259 370
2 251375 371
3 252134 371
4 252390 371
5 253654 372
6 250271 370
7 253246 372
8 254408 373
9 253173 372
10 250802 370
11 251328 371
12 253763 372
13 253709 372
14 251778 371
15 251001 370
16 255202 373
17 252113 371
18 252477 371
19 249627 369
20 251611 371
21 254457 373
22 249229 369
23 254131 372
24 250418 370
25 251712 371
26 252289 372
27 252452 372
28 253151 372
29 253991 373
30 252080 371
31 254015 373
32 250445 371
33 251700 371
34 254781 373
35 251877 371
36 252882 372
37 253003 372
38 253609 372
39 252149 371
40 252691 372
41 252973 372
42 250322 371
43 251162 371
44 252071 371
45 252791 372
46 250607 370
47 252228 371
48 252106 371
49 252670 371
50 252912 372
51 253765 373
52 252582 372
53 253384 373
54 253477 372
55 253991 372
56 251206 370
57 252965 372
58 251890 371
59 254046 372
60 252786 372
61 253238 372
62 253187 372
63 254148 372
64 254400 372
65 254179 372
66 253232 372
67 251375 371
68 253374 372
69 249392 369
70 252008 371
71 253865 372
72 253896 372
73 252477 371
74 250476 370
75 252739 372
76 252881 372
77 253527 372
78 252493 371
79 252793 372
80 253464 372
81 251962 371
82 253282 372
83 252294 371
84 254414 373
85 250597 370
86 251784 371
87 250554 370
88 254004 372
89 252544 371
90 252697 371
91 250997 370
92 252083 371
93 251784 371
94 251174 371
95 250914 370
96 252750 372
97 253999 372
98 251313 371
99 251405 371
100 252605 371
101 250195 370
102 251683 371
103 250051 370
104 254673 373
105 253849 372
106 253003 372
107 250565 370
108 251193 371
109 252187 371
110 252468 371
111 255626 373
112 251239 371
113 252246 371
114 251826 371
115 252717 371
116 249940 370
117 250404 370
118 252885 372
119 251978 371
120 252562 371
121 253762 372
122 256790 374
123 248439 369
124 251873 371
125 254180 372
126 249867 370
127 251833 371
128 251142 370
129 253360 372
130 252463 371
131 253212 372
132 253019 372
133 250183 370
134 246683 367
135 253037 372
136 250499 370
137 252065 371
138 251006 370
139 249040 369
140 254306 372
141 251798 371
142 251223 370
143 252270 371
144 252312 371
145 248413 369
146 252733 372
147 252337 371
148 253936 372
149 253000 372
150 254734 373
151 252211 371
152 255399 373
153 251113 370
154 254483 373
155 253852 372
156 254608 373
157 253183 372
158 252221 371
159 252858 371
160 248838 369
161 253261 372
162 250504 370
163 250782 370
164 250158 370
165 252929 372
166 252958 371
167 253058 372
168 252686 371
169 251732 371
170 248079 368
171 251955 371
172 250960 370
173 252552 371
174 247463 368
175 250995 370
176 251300 371
177 250504 370
178 254414 373
179 252403 371
180 251552 371
181 251820 371
182 252014 371
183 251513 371
184 250598 370
185 250489 370
186 250100 370
187 251630 371
188 252427 371
189 253851 372
190 250452 370
191 251404 371
192 249671 369
193 251437 371
194 250065 370
195 249101 369
196 247852 368
197 251858 371
198 252806 371
199 251084 370
200 249307 369
201 250100 370
202 250260 370
203 252751 371
204 247773 368
205 250273 370
206 250736 370
207 249111 369
208 252223 371
209 250162 370
210 249751 369
211 251530 371
212 247962 368
213 249620 369
214 250379 370
215 252109 371
216 249155 369
217 249177 369
218 252583 371
219 250338 370
220 248586 369
221 250884 370
222 252913 371
223 248713 369
224 251083 370
225 252442 371
226 250295 370
227 251966 371
228 247832 368
229 250288 370
230 249664 369
231 253096 372
232 249036 369
233 251068 370
234 247993 368
235 249661 369
236 249327 369
237 248487 369
238 248293 368
239 252059 371
240 253159 372
241 249745 369
242 249427 369
243 251671 371
244 251306 370
245 251586 371
246 251826 371
247 249696 370
248 253074 372
249 252929 371
250 253310 372
251 252675 371
252 251982 371
253 251125 370
254 252352 371
255 249633 369
256 250491 370
257 253108 372
258 249909 370
259 251438 371
260 248761 369
261 252411 371
262 253334 372
263 250740 370
264 252100 371
265 250294 370
266 254119 372
267 247988 368
268 252970 372
269 252341 371
270 252234 371
271 251621 371
272 252761 371
273 251869 371
274 253246 372
275 249842 369
276 250249 370
277 250533 370
278 250934 370
279 251963 371
280 253974 372
281 252015 371
282 253080 372
283 251513 371
284 252461 371
285 251117 370
286 250339 370
287 253101 372
288 252052 371
289 251623 371
290 252369 371
291 252748 371
292 250643 370
293 250228 370
294 250862 370
295 251108 370
296 252688 371
297 252800 371
298 250509 370
299 251899 371
300 253079 372
301 251226 370
302 251240 371
303 253092 371
304 250312 370
305 254925 373
306 250268 370
307 252053 371
308 253275 372
309 250004 370
310 250772 370
311 252251 371
312 252631 371
313 250543 370
314 250929 370
315 254068 372
316 249406 369
317 250615 370
318 254080 372
319 249986 370
320 252752 372
321 252896 372
322 252441 371
323 252742 372
324 251540 371
325 249567 369
326 251795 371
327 253325 372
328 251453 371
329 251961 371
330 251454 371
331 252442 371
332 252410 371
333 251879 371
334 251815 371
335 250133 370
336 248684 369
337 251386 370
338 253608 372
339 252704 371
340 251113 370
341 248451 369
342 253576 372
343 251805 371
344 251926 371
345 252124 371
346 249674 369
347 249184 369
348 252494 371
349 255260 373
350 254806 373
351 253775 372
352 251941 371
353 248763 369
354 251920 371
355 248945 369
356 248756 369
357 251731 371
358 249989 370
359 251775 371
360 250130 370
361 250046 370
362 250923 370
363 250388 370
364 252254 371
365 250045 370
366 249806 369
367 249485 369
368 249411 369
369 249027 369
370 250847 370
371 252008 371
372 249682 369
373 249835 369
374 251550 371
375 247672 368
376 249826 370
377 248793 369
378 251184 370
379 250299 370
380 250572 370
381 253974 372
382 249552 369
383 254128 372
384 251451 370
385 249234 369
386 250628 370
387 250607 370
388 255148 373
389 247981 368
390 250887 370
391 251226 371
392 252130 371
393 250654 370
394 249452 369
395 251701 371
396 251220 370
397 252314 371
398 251129 370
399 250902 370
400 250066 370
401 249659 369
402 248723 369
403 248377 369
404 251596 371
405 247897 368
406 253864 372
407 250367 370
408 251354 371
409 250211 370
410 253638 372
411 252052 371
412 249441 369
413 249621 369
414 250430 370
415 252172 371
416 248565 369
417 248960 369
418 250338 370
419 248703 369
420 250236 370
421 247934 368
422 247830 368
423 249730 370
424 252121 371
425 248582 369
426 165841 310
427 246434 367
428 207871 341
429 249870 369
430 247872 368
431 247656 368
432 246095 367
433 248271 369
434 249864 369
435 248638 369
436 249557 369
437 249971 370
438 247802 368
439 249505 369
440 248058 368
441 251910 371
442 246785 368
443 251537 371
444 248907 369
445 246456 367
446 248679 369
447 248683 369
448 250960 370
449 248606 369
450 246058 367
451 252128 371
452 249305 369
453 247023 368
454 250302 370
455 250755 370
456 247266 368
457 246629 367
458 249095 369
459 249818 370
460 244561 366
461 250319 370
462 249673 369
463 249575 369
464 248654 369
465 249609 369
466 249383 369
467 249336 369
468 248735 369
469 251120 370
470 248782 369
471 249857 370
472 248554 369
473 248527 369
474 247914 368
475 250687 370
476 247857 368
477 248358 368
478 251034 370
479 247815 368
480 251326 370
481 249468 369
482 248118 368
483 249249 369
484 245796 367
485 249181 369
486 249973 370
487 247738 368
488 249072 369
489 246835 367
490 249056 369
491 247442 368
492 246674 367
493 248426 369
494 248495 369
495 251645 371
496 248508 369
497 250104 370
498 246989 368
499 248380 369
500 246502 367
501 247731 368
502 248597 369
503 248226 368
504 251734 371
505 246564 367
506 249129 369
507 249752 369
508 245757 367
509 246411 367
510 248526 368
511 247539 368
512 246606 367
513 244409 366
514 248203 368
515 245263 366
516 245521 367
517 246142 367
518 247536 368
519 247008 368
520 247354 368
521 247321 368
522 248808 369
523 247122 368
524 247506 368
525 248859 369
526 245307 366
527 246868 367
