#NUMBER FLUX_APER FLUXERR_APER
453 30014 173
454 30381 174
455 30081 173
456 29691 173
457 30492 174
458 30083 173
459 29457 173
460 29952 173
461 29920 173
462 29867 173
463 30010 173
464 29704 173
465 29909 173
466 29898 173
467 29763 173
468 29950 173
469 29929 173
470 29813 173
471 30296 174
472 30347 173
473 30064 173
474 29757 173
475 29563 172
476 30060 173
477 29488 172
478 30066 173
479 30034 173
480 30149 173
481 29740 173
482 29928 173
483 29979 173
484 30130 173
485 29569 173
486 30199 173
487 29895 173
488 29834 173
489 30159 173
490 30350 174
491 30193 174
492 30300 174
493 30470 174
494 30051 173
495 29847 173
496 29739 173
497 30036 173
498 29939 173
499 30078 173
500 30041 173
501 30378 174
502 29956 173
503 30036 173
504 29843 173
505 30504 173
506 29475 172
507 29595 173
508 30322 174
509 29878 173
510 30305 173
511 30092 173
512 30001 173
513 30189 173
514 29967 173
515 29994 173
516 30186 173
517 29892 173
518 29941 173
519 29706 173
520 30166 173
521 29628 172
522 30191 173
523 29887 173
524 30033 173
525 29733 172
526 29893 173
527 29861 173
528 30376 173
529 30244 173
530 29933 173
531 29978 173
532 29682 173
533 30187 173
534 29858 173
535 29757 173
536 29535 172
537 29994 173
538 29937 173
539 29647 172
540 29863 173
541 29760 173
542 29930 173
543 29784 173
544 30061 173
545 29718 172
546 30200 173
547 30046 173
548 29976 173
549 30080 173
550 30104 173
551 29413 172
552 29944 173
553 29950 173
554 29040 172
555 29155 172
556 30136 173
557 29792 173
558 29787 173
559 29674 173
560 29828 173
561 29422 172
562 29830 173
563 30119 173
564 29935 173
565 29946 173
566 29648 173
567 29869 173
568 29882 173
569 29668 172
570 29626 173
571 29636 172
572 30181 173
573 29665 173
574 29838 173
575 30064 173
576 29973 173
577 29979 173
578 29744 173
579 30129 173
580 30009 173
581 29944 173
582 29765 172
583 29996 173
584 29586 172
585 29844 173
586 30102 173
587 29903 173
588 29308 172
589 29758 173
590 29710 173
591 30445 174
592 29671 173
593 29837 173
594 30019 173
595 29594 172
596 29732 173
597 29910 173
598 29831 173
599 29655 173
600 29806 173
601 29576 173
602 30217 173
603 29371 172
604 29044 172
605 29437 172
606 30350 174
607 29517 172
608 30067 173
609 29944 173
610 29664 173
611 30146 173
612 29849 173
613 30007 173
614 29624 173
615 30431 174
616 29712 173
617 29423 173
618 30077 173
619 29885 173
620 29658 173
621 29842 173
622 29742 173
623 29979 173
624 30251 173
625 29695 173
626 29708 173
627 29413 173
628 29742 173
629 30425 174
630 29866 173
631 29725 173
632 29524 173
633 29820 173
634 29575 173
635 29321 172
636 30300 174
637 29604 172
638 29690 173
639 29858 173
640 29498 172
641 29524 173
642 29904 173
643 29929 173
644 29643 173
645 29718 173
646 29581 172
647 29329 172
648 30008 173
649 29313 172
650 29989 173
651 29991 173
652 29927 173
653 29314 172
654 29620 172
655 30051 173
656 29288 172
657 29507 172
658 29520 172
659 29599 172
660 29741 173
661 29745 173
662 29798 173
663 29913 173
664 29646 172
665 29631 173
666 29651 172
667 29839 173
668 29633 173
669 29512 172
670 29567 172
671 29508 172
672 29374 172
673 29760 172
674 29326 172
675 29783 172
676 29301 172
677 29238 172
678 29862 173
679 29618 173
680 30100 173
681 29695 172
682 29640 173
683 29410 172
684 29289 172
685 29359 172
686 29311 172
687 30122 173
688 29821 173
689 29395 172
690 29318 172
691 29268 172
692 29987 173
693 30009 173
694 29750 173
695 29493 172
696 29562 172
697 29871 173
698 29619 172
699 29693 173
700 29322 172
701 29249 172
702 29712 172
