NUMBER FLUX_APER FLUXERR_APER
0 13555 149
1 13555 149
2 13408 149
3 13232 148
4 13494 149
5 13311 148
6 13482 149
7 13254 148
8 13570 149
9 13297 148
10 13560 149
11 13549 149
12 13481 149
13 13330 148
14 13561 149
15 13407 149
16 13315 148
17 13556 149
18 13249 148
19 13294 148
20 13274 148
21 13400 149
22 12977 148
23 13435 148
24 13128 148
25 13190 149
26 13484 150
27 13511 151
28 13737 150
29 13208 149
30 13230 149
31 13319 149
32 13181 150
33 13262 149
34 13393 149
35 13318 149
36 13252 149
37 13550 149
38 13373 149
39 13514 149
40 13013 150
41 13324 150
42 13461 150
43 13234 150
44 13603 149
45 13362 150
46 13043 148
47 13342 149
48 13469 149
49 13123 148
50 13427 150
51 13524 150
52 13561 150
53 13514 150
54 13395 149
55 13393 148
56 13220 148
57 13278 148
58 13207 148
59 13348 148
60 13350 149
61 13058 148
62 13569 149
63 13346 148
64 13590 149
65 13283 148
66 13504 148
67 13359 148
68 13447 148
69 13406 149
70 13586 149
71 13354 148
72 13198 148
73 13280 149
74 13460 149
75 13380 149
76 13243 148
77 13101 148
78 13432 148
79 13152 148
80 13442 148
81 13528 149
82 13212 148
83 13417 149
84 13249 148
85 13235 148
86 13688 149
87 13513 148
88 13592 148
89 13530 149
90 13414 149
91 13207 148
92 13346 148
93 13369 148
94 13469 149
95 13481 149
96 13449 149
97 13693 149
98 13343 149
99 13410 149
100 13363 148
101 13752 149
102 13454 149
103 13525 149
104 13710 149
105 13362 148
106 13247 148
107 13195 148
108 13397 149
109 13567 148
110 13136 148
111 13231 148
112 13462 149
113 13307 149
114 13092 148
115 13208 148
116 13716 149
117 13378 148
118 13509 149
119 13271 148
120 13245 148
121 13583 149
122 13403 148
123 13176 148
124 13473 149
125 13302 148
126 13467 148
127 13302 148
128 13115 148
129 13541 148
130 13089 148
131 13364 148
132 13428 149
133 13525 149
134 13357 148
135 13234 148
136 13455 148
137 13475 148
138 13417 149
139 13422 148
140 13516 148
141 13285 148
142 13231 148
143 13127 148
144 13414 148
145 13311 148
146 13185 148
147 13300 148
148 13351 148
149 13593 149
150 13142 148
151 12918 147
152 13434 148
153 13374 148
154 13327 148
155 13170 148
156 13464 149
157 13397 148
158 13373 148
159 13345 148
160 13403 149
161 13160 148
162 13502 149
163 13216 148
164 13238 148
165 13441 148
166 13425 148
167 13507 148
168 13310 148
169 13619 149
170 13652 149
171 13619 149
172 13528 149
173 13428 148
174 13299 148
175 13336 148
176 13073 148
177 13391 148
178 13367 148
179 13327 148
180 13521 149
181 13437 149
182 13467 149
183 13155 148
184 13385 148
185 13311 148
186 13375 148
187 13466 149
188 13194 148
189 13468 148
190 13001 148
191 13257 148
192 13234 148
193 13507 148
194 13385 149
195 13409 148
196 13357 148
197 13237 148
198 13176 148
199 13260 148
200 13319 148
201 13646 148
202 13173 148
203 13562 149
204 13567 148
205 13244 148
206 13565 149
207 13309 148
208 13755 149
209 13421 148
210 13471 148
211 13316 148
212 13230 148
213 13154 148
214 13218 148
215 13522 149
216 13379 149
217 13172 148
218 13223 148
219 13388 149
220 13320 148
221 13678 149
222 13229 148
223 13332 148
224 13213 148
225 13308 148
226 13320 149
227 13112 148
228 13261 148
229 13120 148
230 13330 148
231 13287 148
232 13350 148
233 13268 148
234 13485 148
235 13116 147
236 13319 148
237 13160 148
238 13318 148
239 13148 148
240 13174 148
241 13525 148
242 13669 149
243 13164 148
244 13232 148
245 13357 148
246 13259 148
247 13490 149
248 13462 148
249 13416 148
250 13321 148
251 13396 148
252 13492 148
253 13432 148
254 13326 148
255 13400 148
256 13493 148
257 13028 148
258 13200 148
259 13240 148
260 13477 148
261 13370 148
262 13102 148
263 13164 148
264 13229 148
265 13238 148
266 13244 148
267 13497 148
268 13368 148
269 13216 148
270 13371 148
271 13258 148
272 13411 148
273 13248 148
274 13316 148
275 13172 148
276 13218 148
277 13580 148
278 13246 148
279 13221 148
280 13217 148
281 13363 148
282 13303 148
283 13162 148
284 13325 148
285 13245 148
286 13117 148
287 12969 148
288 13344 148
289 13345 148
290 13272 148
291 13036 148
292 13367 148
293 13181 148
294 13320 148
295 13576 149
296 13073 148
297 13463 148
298 13327 148
299 13328 148
300 13496 148
301 13216 148
302 13218 148
303 13447 148
304 13290 148
305 13663 149
306 13298 148
307 13684 148
308 13171 148
309 13216 148
310 13470 149
311 13353 148
312 13262 148
313 13314 148
314 13457 149
315 13185 148
316 13582 149
317 13465 148
318 13342 148
319 13212 148
320 13600 149
321 13229 148
322 13406 148
323 13121 148
324 13669 149
325 13402 148
326 13118 148
327 13273 148
328 13393 148
329 13059 147
330 13472 149
331 13441 148
332 13130 148
333 13306 148
334 13521 149
335 13321 148
336 13221 148
337 13250 148
338 13446 149
339 13039 148
340 13190 148
341 13366 148
342 13157 148
343 13501 148
344 13408 148
345 13377 148
346 13431 148
347 13267 148
348 13323 148
349 13508 149
350 13189 148
351 13247 148
352 13471 148
353 13233 148
354 13138 148
355 13150 148
356 13585 148
357 13390 148
358 13223 148
359 13251 148
360 13447 148
361 13533 148
362 13375 148
363 13389 148
364 13530 148
365 13354 148
366 13288 148
367 13512 148
368 13282 148
369 13203 148
370 13312 148
371 13558 148
372 13029 148
373 13355 148
374 13173 148
375 13418 148
376 13647 149
377 13249 148
378 13327 148
379 13281 148
380 13109 148
381 13292 148
382 13245 148
383 13141 148
384 13148 148
385 13559 149
386 13369 148
387 13375 148
388 13107 148
389 13354 148
390 13122 148
391 13229 148
392 13304 148
393 13322 148
394 13312 148
395 13455 149
396 13577 149
397 13432 148
398 13440 148
399 13235 148
400 13261 148
401 12901 148
402 13150 148
403 13272 148
404 13289 148
405 13365 149
406 13637 149
407 13361 148
408 13219 148
409 13367 148
410 13266 148
411 13119 148
412 13055 148
413 13481 148
414 13424 149
415 13182 148
416 12856 148
417 13156 148
418 13251 148
419 13407 149
420 12991 148
421 13107 148
422 13104 148
423 13049 148
424 13188 148
425 13387 148
426 1449 127
427 13571 149
428 1764 128
429 13284 148
430 13400 148
431 13099 147
432 13214 148
433 13203 148
434 13347 148
435 13048 148
436 13344 148
437 13263 148
438 13158 148
439 13196 148
440 13304 148
441 13304 148
442 13245 148
443 13402 148
444 13391 148
445 13293 148
446 13441 149
447 13319 148
448 13222 148
449 13300 148
450 13353 148
451 13238 148
452 13481 148
453 13435 148
454 13549 148
455 13307 148
456 13605 149
457 13332 148
458 13306 148
459 13344 148
460 13423 148
461 13454 148
462 13315 148
463 13344 148
464 13425 149
465 13062 148
466 13406 148
467 13244 148
468 13507 148
469 13133 148
470 13520 148
471 13342 148
472 13379 148
473 13112 148
474 13294 148
475 13212 148
476 13452 148
477 13050 147
478 12830 147
479 13185 148
480 13303 148
481 13130 147
482 13337 148
483 12993 147
484 13168 148
485 13386 148
486 13317 148
487 13215 148
488 13370 148
489 13273 148
490 13205 148
491 13244 148
492 13437 148
493 13139 148
494 13477 148
495 13068 148
496 13253 148
497 13089 147
498 13474 148
499 13395 148
500 13237 147
501 13087 148
502 13318 148
503 13423 148
504 13177 148
505 13160 147
506 13438 148
507 13512 148
508 13496 148
509 13224 148
510 13271 148
511 13014 147
512 13385 148
513 13409 148
514 13138 148
515 13186 148
516 13168 148
517 13505 148
518 13430 148
519 13445 148
520 13322 148
521 13495 148
522 13313 148
523 13311 148
524 12953 147
525 13269 147
526 12966 147
527 13353 148
528 13256 148
529 13454 148
530 13537 148
531 13320 148
532 13352 148
533 12972 147
534 13371 148
535 13265 148
536 13401 148
537 13436 148
538 13209 148
539 13154 148
540 13148 148
541 13473 148
542 13562 148
543 13463 148
544 13496 148
545 13226 147
546 13444 148
547 13458 148
548 13360 148
549 13309 148
550 13384 148
551 13293 148
552 13201 148
553 13437 148
554 13113 147
555 13315 148
556 13554 148
557 13377 148
558 13340 148
559 13155 148
560 13207 148
561 13203 147
562 13074 147
563 13361 148
564 13374 148
565 13200 148
566 13292 148
567 13315 148
568 13299 148
569 13415 148
570 13203 148
571 13148 147
572 13080 148
573 13514 148
574 13439 148
575 13266 148
576 13623 148
577 13279 148
578 13657 148
579 13299 148
580 13644 148
581 13508 148
582 13453 148
583 13331 148
584 13111 147
585 12982 147
586 13126 147
587 13220 148
588 13232 148
589 13142 147
590 13485 148
591 13436 148
592 13087 148
593 13083 147
594 13209 148
595 13050 147
596 12985 147
597 13537 149
598 13360 148
599 13317 148
600 13138 148
601 13163 148
602 13258 148
603 13347 148
604 13233 148
605 12914 147
606 13122 148
607 13286 148
608 13067 148
609 13384 148
610 13380 148
611 13140 148
612 13311 148
613 13237 148
614 13088 148
615 13362 148
616 13343 148
617 13190 148
618 13428 148
619 13364 148
620 13376 148
621 13314 148
622 13141 147
623 13217 148
624 13261 148
625 13098 148
626 13457 148
627 13267 148
628 13299 148
629 13061 148
630 13244 148
631 13379 149
632 13495 149
633 13275 148
634 13137 148
635 13389 148
636 13173 148
637 13135 148
638 12909 147
639 13245 148
640 12822 147
641 13397 148
642 13152 147
643 13320 148
644 13214 148
645 13385 148
646 13357 148
647 13408 148
648 13015 147
649 13005 148
650 13158 148
651 12933 147
652 13326 148
653 13371 148
654 13250 147
655 12970 147
656 13386 148
657 13181 148
658 13068 147
659 13129 148
660 13217 148
661 13128 147
662 13300 148
663 13267 148
664 12935 147
665 13014 147
666 12825 147
667 13257 148
668 13105 148
669 13426 148
670 13155 147
671 13154 147
672 13355 148
673 12993 147
674 12824 147
675 13518 148
676 12814 147
677 13291 148
678 13098 147
679 13172 148
680 12854 147
681 12991 147
682 13276 148
683 13156 147
684 13078 147
685 13348 148
686 13158 148
687 13356 148
688 13216 148
689 13234 148
690 13338 148
691 13125 147
692 13129 148
693 13057 147
694 13011 148
695 12906 147
696 13065 147
697 13260 148
698 13270 148
699 13038 147
700 13029 147
701 13109 148
702 13287 148
703 13354 148
704 13216 148
705 13154 147
706 13391 148
707 12924 147
708 12963 147
709 13280 148
710 13156 148
711 13186 148
712 13227 148
713 13020 147
714 13410 148
715 13034 147
716 13198 147
717 13039 148
718 13153 148
719 12945 147
720 13223 148
721 13270 148
722 13029 147
723 13061 148
724 12787 147
725 13432 148
726 13139 148
727 12948 147
728 13311 148
729 13340 148
730 13053 147
731 13300 148
732 12871 147
733 13129 148
734 12892 147
735 13274 148
736 13498 148
737 13197 148
738 13227 148
739 13361 148
740 13295 148
741 13393 148
742 13080 148
743 13253 148
744 13481 148
745 13288 148
746 12971 147
747 13280 148
748 13070 148
749 13012 147
750 12895 147
751 12998 147
752 13563 148
753 13470 148
754 13277 148
755 13461 148
756 13012 147
757 13539 148
758 13274 148
759 13227 148
760 13337 148
761 13414 148
762 13004 147
763 13214 148
764 13156 148
765 13500 148
766 13218 148
767 13047 147
768 13175 147
769 13120 148
770 13289 148
771 13137 147
772 13339 148
773 13111 147
774 13209 148
775 13141 148
776 13173 148
777 13444 148
778 13228 147
779 12913 147
780 13234 148
781 12986 147
782 13419 148
783 13255 148
784 13179 148
785 13062 147
786 13101 148
787 13239 148
788 12866 147
789 13023 148
790 13146 148
791 13325 148
792 13151 147
793 12824 147
794 13479 148
795 13150 148
796 13020 148
797 13249 148
798 13385 148
799 13029 147
800 13126 148
801 12850 148
802 13218 148
803 13061 147
804 13091 148
805 13121 148
806 12982 147
807 13226 148
808 13117 148
809 13284 148
810 13026 147
811 13454 148
812 13001 147
813 13277 148
814 13321 148
815 13039 147
816 13235 148
817 13037 148
818 13140 148
819 13227 148
820 13194 148
821 13158 148
822 13120 147
823 13192 148
824 12962 147
825 13251 148
826 13029 148
827 13026 147
828 13309 148
829 13006 148
830 13332 148
831 13156 148
832 12951 148
833 13276 148
834 12865 147
835 13096 148
836 13093 148
837 13206 148
838 13235 148
839 13220 148
840 13148 148
841 13147 148
842 13173 148
843 12855 147
844 12997 148
845 13043 148
846 13106 148
847 13418 148
848 12911 147
849 12930 147
850 13454 149
851 13079 148
852 13085 148
853 13014 147
854 13197 148
855 13072 147
856 12890 147
857 12903 147
858 12990 147
859 13032 147
860 13452 148
861 12987 147
862 12995 148
863 12949 147
864 12894 147
865 13118 148
866 12937 147
867 13266 148
868 13261 148
869 13267 148
870 12847 148
871 13068 148
872 13170 148
873 12908 147
874 13087 147
875 12827 147
876 13114 148
877 13149 148
878 12813 147
879 12974 148
880 12952 147
881 13169 148
882 13215 148
883 13128 148
884 13102 147
885 12987 148
886 12954 148
887 13289 148
888 13130 148
889 12688 147
890 13035 148
891 13215 148
892 13302 148
893 13180 148
894 12842 147
895 12964 147
896 12982 147
897 13037 148
898 12838 147
899 13249 148
900 13201 148
