NUMBER FLUX_APER FLUXERR_APER
0 10071 143
1 10071 143
2 10212 143
3 10291 143
4 10214 143
5 10221 143
6 10051 143
7 10337 144
8 10453 144
9 10287 143
10 10314 143
11 10220 143
12 10332 143
13 10227 143
14 10243 143
15 10067 143
16 10425 144
17 10343 143
18 10389 143
19 10177 143
20 10203 143
21 10027 143
22 10289 143
23 10207 143
24 10137 143
25 10324 145
26 10070 145
27 10422 146
28 10120 144
29 10560 144
30 10046 144
31 10172 144
32 10100 144
33 10017 144
34 10367 144
35 10232 144
36 10199 144
37 10228 143
38 9989 143
39 10191 143
40 10149 145
41 10079 145
42 10172 145
43 10161 145
44 10206 144
45 10259 145
46 10156 144
47 10241 143
48 10380 144
49 10050 143
50 10442 145
51 9965 145
52 10177 144
53 10044 145
54 10098 143
55 10049 143
56 9991 143
57 10032 143
58 10104 143
59 10422 144
60 10285 144
61 10160 143
62 10323 143
63 10045 143
64 10136 143
65 10248 143
66 10648 144
67 10308 144
68 10206 143
69 10341 144
70 10106 143
71 10476 144
72 10104 143
73 10164 143
74 10288 143
75 10537 144
76 10452 143
77 10136 143
78 10189 143
79 10138 143
80 9982 142
81 10587 144
82 10292 144
83 10096 143
84 10125 143
85 10372 143
86 10298 143
87 10102 143
88 10077 143
89 10261 143
90 10368 143
91 10348 143
92 10375 143
93 10175 143
94 10460 144
95 10547 144
96 10280 143
97 10345 143
98 10193 143
99 10452 144
100 10435 143
101 10426 144
102 10288 143
103 10204 143
104 10303 143
105 10164 143
106 10363 143
107 10466 144
108 10185 143
109 10478 143
110 10403 143
111 10295 143
112 10113 143
113 10379 144
114 10244 144
115 10380 143
116 9941 143
117 10297 143
118 10316 143
119 10456 144
120 10502 144
121 10677 144
122 10304 143
123 10217 143
124 10173 143
125 10321 144
126 10196 143
127 10413 144
128 10103 143
129 9903 142
130 10363 143
131 9977 143
132 10632 144
133 10148 143
134 10335 143
135 10165 143
136 10364 143
137 10508 144
138 10126 143
139 10236 143
140 10542 143
141 10555 144
142 10173 143
143 10095 143
144 10219 143
145 10355 144
146 10223 143
147 10195 143
148 10339 143
149 10428 143
150 10306 144
151 10389 143
152 10219 143
153 10534 143
154 10223 143
155 10184 143
156 10289 143
157 10145 143
158 10020 143
159 10219 143
160 10262 144
161 10246 143
162 10483 144
163 10210 143
164 10331 143
165 10244 143
166 10302 143
167 10145 143
168 10370 143
169 10086 143
170 10163 143
171 10362 143
172 10113 143
173 10159 143
174 10385 143
175 10201 143
176 10035 143
177 10473 143
178 10274 143
179 10628 144
180 10352 143
181 10024 143
182 10162 143
183 9989 142
184 10340 143
185 10300 143
186 9947 142
187 10185 143
188 10530 144
189 10337 143
190 10280 143
191 10372 143
192 10286 143
193 10362 143
194 10530 144
195 10212 143
196 10487 143
197 10386 143
198 10122 143
199 10240 143
200 10187 143
201 10249 143
202 10340 143
203 10207 143
204 10302 142
205 10204 143
206 10239 143
207 10108 142
208 10096 142
209 10118 143
210 10613 143
211 10234 143
212 10012 143
213 10133 143
214 10288 143
215 10202 143
216 10082 143
217 10227 143
218 10092 143
219 10155 143
220 10181 143
221 10457 144
222 10198 143
223 10091 143
224 10264 143
225 10417 143
226 10401 144
227 10404 143
228 10380 143
229 10366 143
230 10124 143
231 10147 143
232 10151 143
233 10119 142
234 10617 143
235 9712 142
236 10455 143
237 10265 143
238 10272 143
239 10245 143
240 10085 142
241 10135 143
242 10172 143
243 10471 143
244 10284 143
245 10236 143
246 10387 143
247 10229 143
248 10133 143
249 10120 143
250 9943 142
251 10210 143
252 9865 142
253 10177 143
254 9955 143
255 10236 143
256 10281 143
257 10384 143
258 10360 143
259 10195 143
260 10240 143
261 10273 143
262 10031 143
263 10030 143
264 10019 142
265 10164 143
266 10536 144
267 9861 142
268 10138 143
269 10220 143
270 10085 143
271 10019 142
272 10240 143
273 9964 142
274 10102 143
275 10243 143
276 10047 142
277 10325 143
278 9986 142
279 10147 143
280 9992 143
281 1775 128
282 10421 144
283 10373 143
284 10236 143
285 9997 143
286 10077 143
287 10408 143
288 10478 143
289 10294 143
290 10148 143
291 10030 143
292 10056 143
293 10618 144
294 10027 143
295 10209 143
296 9953 143
297 10147 143
298 9909 142
299 9806 142
300 10200 143
301 10245 143
302 10028 143
303 10384 143
304 10312 143
305 10169 143
306 10390 143
307 10402 143
308 10008 143
309 10239 143
310 10343 143
311 10179 143
312 10188 143
313 10154 143
314 10335 143
315 10006 143
316 10060 143
317 10090 143
318 10250 143
319 9890 143
320 10197 143
321 10252 143
322 10083 143
323 10062 143
324 10164 143
325 10026 143
326 10178 143
327 10071 143
328 9860 142
329 10124 142
330 10095 143
331 10092 142
332 9986 143
333 10204 143
334 10229 143
335 10338 143
336 9974 143
337 10349 143
338 9831 143
339 10292 143
340 10171 143
341 10075 143
342 10340 143
343 10123 143
344 10210 143
345 10152 143
346 10391 143
347 10425 143
348 9895 143
349 9874 143
350 10159 143
351 10452 144
352 10417 143
353 10390 143
354 10613 144
355 9899 142
356 10448 143
357 10237 143
358 10125 143
359 10228 143
360 10315 143
361 10239 143
362 9939 143
363 9990 143
364 10228 143
365 10124 143
366 10035 142
367 10101 143
368 10428 144
369 10139 143
370 10102 143
371 10065 143
372 10096 143
373 10128 143
374 10110 143
375 10426 143
376 9897 143
377 10414 143
378 9937 143
379 10144 143
380 9971 143
381 10214 143
382 10141 143
383 9958 143
384 9958 142
385 10068 143
386 10101 143
387 10114 143
388 10339 143
389 10090 142
390 10273 143
391 10182 143
392 10195 143
393 10203 143
394 10380 143
395 10205 143
396 10191 143
397 10088 143
398 10163 143
399 10428 143
400 10086 143
401 10188 143
402 10226 143
403 9944 143
404 10102 143
405 10254 143
406 10239 143
407 10150 143
408 10091 143
409 10087 143
410 10075 143
411 10418 143
412 9972 142
413 10127 143
414 10114 143
415 10184 143
416 10300 143
417 10160 143
418 10292 143
419 9810 143
420 10087 143
421 10209 143
422 10161 143
423 9988 143
424 9838 142
425 10279 143
426 6494 137
427 10127 143
428 8522 140
429 10111 143
430 10032 143
431 9950 142
432 10029 143
433 10100 143
434 10478 143
435 10253 143
436 10433 143
437 10947 144
438 10255 143
439 10323 143
440 10128 143
441 10224 143
442 10113 143
443 10006 143
444 10227 143
445 10200 143
446 10145 143
447 10220 143
448 10186 143
449 10252 143
450 10066 143
451 10270 143
452 10543 144
453 10222 143
454 10382 143
455 10126 143
456 10139 143
457 10224 143
458 10414 143
459 10149 143
460 10131 143
