NUMBER FLUX_APER FLUXERR_APER
901 9677 137
902 9624 137
903 9551 137
904 9780 137
905 9788 137
906 9470 137
907 9843 137
908 9929 137
909 9734 137
910 10009 137
911 9772 137
912 9557 137
913 10043 137
914 9779 137
915 9739 137
916 9865 137
917 9655 137
918 9718 137
919 9770 137
920 9472 137
921 9844 137
922 9552 137
923 9727 137
924 9899 137
925 9746 137
926 9670 137
927 9617 137
928 9765 137
929 9833 137
930 9891 137
931 9825 137
932 9746 137
933 9737 137
934 9668 137
935 9728 137
936 9767 137
937 9483 137
938 9837 137
939 10065 138
940 9616 137
941 9707 137
942 9649 137
943 9806 137
944 9559 137
945 9682 137
946 9597 137
947 9794 137
948 9887 138
949 9814 137
950 9691 137
951 9605 137
952 9649 137
953 9617 137
954 9793 138
955 9961 138
956 9742 137
957 9884 138
958 9650 137
959 9317 137
960 9777 138
961 9667 137
962 9695 137
963 10168 138
964 9893 138
965 9723 137
966 9771 137
967 9695 137
968 9767 137
969 9568 137
970 9843 137
971 9654 137
972 9794 137
973 9708 138
974 9616 137
975 9851 137
976 9775 137
977 9613 137
978 9695 137
979 9851 138
980 9647 137
981 9916 138
982 9657 138
983 9611 137
984 9605 137
985 9397 137
986 9598 137
987 9520 137
988 9722 137
989 9637 137
990 9530 137
991 9465 137
992 9585 137
993 9680 137
994 9535 137
995 9745 137
996 9801 137
997 9813 137
998 9647 137
999 9601 137
1000 9705 137
1001 9525 137
1002 9949 137
1003 9809 137
1004 9601 137
1005 9814 137
1006 9760 137
1007 9736 137
1008 9989 137
1009 9806 138
1010 9497 137
1011 9672 137
1012 9787 137
1013 9699 137
1014 9851 138
1015 9738 137
1016 9782 137
1017 9803 138
1018 9902 137
1019 9805 137
1020 9665 137
1021 9745 137
1022 9644 137
1023 9606 137
1024 9897 138
1025 9956 138
1026 9681 137
1027 9693 137
1028 9577 137
1029 9775 137
1030 9899 138
1031 9687 137
1032 9621 137
1033 9335 137
1034 9710 137
1035 9776 137
1036 9896 137
1037 9515 136
1038 9754 137
1039 9664 137
1040 9814 137
1041 9602 136
1042 9501 137
1043 9705 137
1044 9949 137
1045 9728 137
1046 9742 137
1047 9683 137
1048 9723 137
1049 9961 137
1050 9913 137
1051 9499 137
1052 9863 137
1053 9723 137
1054 9966 138
1055 9516 137
1056 9498 136
1057 9830 137
1058 9646 137
1059 9507 137
1060 9750 137
1061 9453 137
1062 9478 136
1063 9475 137
1064 9402 137
1065 9601 137
1066 9596 137
1067 9546 137
1068 9654 137
1069 9738 137
1070 9740 137
1071 9636 137
1072 9466 137
1073 9684 137
1074 9702 137
1075 9855 137
1076 9560 137
1077 9615 137
1078 9651 136
1079 10051 137
1080 9695 136
1081 9925 137
1082 9557 136
1083 9692 137
1084 9797 137
1085 9874 137
1086 9488 137
1087 9317 136
1088 9642 137
1089 9755 137
1090 9819 137
1091 9795 137
1092 9770 137
1093 9413 137
1094 9797 138
1095 9748 137
1096 9381 137
1097 9435 137
1098 9921 138
1099 9803 138
1100 9799 138
1101 9867 137
1102 9553 137
1103 9336 137
1104 9917 138
1105 9404 137
1106 10023 138
1107 9261 137
1108 9559 137
1109 9849 137
1110 9756 138
1111 9543 137
1112 9536 137
1113 9659 137
1114 9579 137
1115 9493 137
1116 9675 137
1117 9561 137
1118 9371 136
1119 9781 137
1120 9674 137
1121 9591 137
1122 9491 137
1123 9514 137
1124 9644 137
1125 9616 137
1126 9552 137
1127 9423 136
1128 9620 137
1129 9862 137
1130 9696 137
1131 9754 137
1132 9529 137
1133 9699 137
1134 9570 137
1135 9750 137
1136 9750 137
1137 9625 137
1138 9890 138
1139 9533 137
1140 9757 137
1141 9724 137
1142 9829 138
1143 9392 136
1144 9594 137
1145 9689 137
1146 9475 136
1147 9676 137
1148 9425 137
1149 9591 137
1150 9737 137
1151 9506 136
1152 9530 137
1153 9769 138
1154 9472 136
1155 9613 137
1156 9570 137
1157 9423 137
1158 9605 137
1159 9494 137
1160 9369 137
1161 9633 137
1162 9668 137
1163 9764 137
1164 9543 137
1165 9530 137
1166 9590 137
1167 9516 137
1168 9843 138
1169 9695 138
1170 9635 137
1171 9829 138
1172 9722 137
1173 9699 137
1174 9600 137
1175 9494 137
1176 9779 137
1177 9741 137
1178 9538 137
1179 9550 137
1180 9661 137
1181 9811 137
1182 9639 137
1183 9689 137
1184 9697 138
1185 10018 138
1186 9596 137
1187 9501 137
1188 9750 137
1189 9622 137
1190 9730 137
1191 9429 137
1192 9931 138
1193 9491 137
1194 9733 137
1195 9691 137
1196 9649 137
1197 9515 137
1198 9793 137
1199 9564 137
1200 9535 137
1201 9477 137
1202 9423 137
1203 9486 137
1204 9468 137
1205 9684 137
1206 9281 136
1207 9703 137
1208 9710 137
1209 9451 137
1210 9839 137
1211 9721 137
1212 9490 137
1213 9259 136
1214 9524 137
1215 9642 137
1216 9686 137
1217 9776 137
1218 9446 137
1219 9292 137
1220 9831 138
1221 10011 138
1222 9636 137
1223 9295 136
1224 9245 136
1225 9444 137
1226 9518 137
1227 9482 137
1228 9744 138
1229 9596 137
1230 9729 138
1231 9754 137
1232 9494 137
1233 9651 137
1234 9465 137
1235 9684 137
1236 9731 137
1237 9639 137
1238 9714 137
1239 9667 137
1240 9729 137
1241 9338 137
1242 9530 137
1243 9730 137
1244 9476 137
1245 9677 137
1246 9366 137
1247 9936 138
1248 9545 137
1249 9450 137
1250 9442 137
1251 9800 138
1252 9532 137
1253 9414 137
1254 9743 137
1255 9402 137
1256 9892 137
1257 9514 137
1258 9537 137
1259 9368 137
1260 9874 138
1261 9520 137
1262 9533 137
1263 9567 137
1264 9745 138
1265 9613 137
1266 9269 137
1267 9402 137
1268 9497 137
1269 9533 137
1270 9579 137
1271 9763 137
1272 9547 137
1273 9576 137
1274 9515 137
1275 9298 137
1276 9504 137
1277 9481 137
1278 9633 137
1279 9616 137
1280 9666 137
1281 9576 137
1282 9662 138
1283 9539 137
1284 9778 138
1285 9761 137
