NUMBER FLUX_APER FLUXERR_APER
901 20432 155
902 19927 154
903 20135 154
904 20125 154
905 20261 155
906 19972 154
907 20092 154
908 19952 154
909 20194 155
910 19822 154
911 20091 154
912 19901 154
913 19566 153
914 19779 154
915 19934 154
916 19921 154
917 19997 154
918 20276 155
919 20082 154
920 20448 155
921 20161 154
922 19654 154
923 19923 154
924 19949 154
925 19781 154
926 19910 154
927 19906 154
928 20119 154
929 19713 154
930 19641 154
931 19509 153
932 19530 153
933 19920 154
934 20001 154
935 20187 155
936 19969 154
937 19671 154
938 19874 154
939 20004 154
940 20036 154
941 19734 154
942 20045 154
943 20268 155
944 19812 154
945 20117 155
946 19874 154
947 19938 154
948 20046 154
949 19772 154
950 19776 154
951 19673 154
952 19988 154
953 19837 154
954 19841 154
955 19599 154
956 19804 154
957 19880 154
958 19814 154
959 19799 154
960 19659 154
961 19524 154
962 20129 154
963 19760 154
964 19720 154
965 19771 154
966 19808 154
967 19900 154
968 19956 154
969 19994 154
970 20106 154
971 19856 154
972 20050 154
973 19566 154
974 19696 154
975 20083 154
976 19328 153
977 19841 154
978 19836 154
979 19566 154
980 19879 154
981 20171 155
982 19858 154
983 19721 154
984 20031 155
985 19659 154
986 20002 154
987 20235 155
988 19977 154
989 20039 155
990 19881 154
991 19961 154
992 19511 154
993 20089 154
994 19862 154
995 19778 154
996 19780 154
997 19862 154
998 20019 154
999 19967 154
1000 19748 154
1001 19991 154
1002 20194 154
1003 20136 154
1004 20098 154
1005 20200 154
1006 19847 154
1007 19822 154
1008 20174 154
1009 19852 154
1010 19873 154
1011 19720 154
1012 19577 153
1013 19814 154
1014 20259 155
1015 19986 154
1016 19691 154
1017 19864 154
1018 20068 154
1019 19917 154
1020 19897 154
1021 19789 154
1022 20146 154
1023 19351 153
1024 20399 155
1025 19701 154
1026 19869 154
1027 19637 154
1028 19510 154
1029 20074 154
1030 19917 154
1031 20056 154
1032 20172 154
1033 19950 154
1034 19732 154
1035 19473 153
1036 19981 154
1037 19658 153
1038 20128 155
1039 19877 154
1040 20025 154
1041 19876 154
1042 19916 154
1043 19998 154
1044 19329 153
1045 19811 154
1046 20245 155
1047 20107 154
1048 19736 154
1049 20032 154
1050 20127 154
1051 20078 154
1052 19961 154
1053 19643 153
1054 19809 154
1055 20035 154
1056 19724 153
1057 19820 154
1058 19585 153
1059 19718 154
1060 20057 154
1061 20102 154
1062 19753 154
1063 19367 153
1064 20016 154
1065 19819 154
1066 19780 154
1067 19802 154
1068 19867 154
1069 19708 154
1070 19905 154
1071 19980 154
1072 20109 155
1073 19931 154
1074 20023 154
1075 19894 154
1076 20269 155
1077 19946 154
1078 20004 154
1079 20264 154
1080 20006 154
1081 19662 153
1082 19978 154
1083 19843 154
1084 19622 153
1085 19950 154
1086 19808 154
1087 20075 154
1088 19907 154
1089 20323 155
1090 19550 153
1091 19772 154
1092 19813 154
1093 19671 154
1094 19746 154
1095 19500 154
1096 19945 154
1097 19870 154
1098 19418 154
1099 19449 154
1100 19497 154
1101 19439 153
1102 19248 153
1103 20380 155
1104 19855 154
1105 19963 155
1106 20311 155
1107 19703 154
1108 20033 154
1109 20176 155
1110 19820 154
1111 19961 154
1112 19710 154
1113 20181 154
1114 19667 154
1115 19797 154
1116 19604 154
1117 19443 154
1118 19632 153
1119 20070 154
1120 19403 153
1121 20287 155
1122 20291 155
1123 19646 154
1124 19603 154
1125 19584 153
1126 19599 154
1127 19814 154
1128 19786 154
1129 19757 154
1130 19597 154
1131 19550 154
1132 19748 154
1133 19658 154
1134 19543 154
1135 19931 154
1136 19625 154
1137 19519 154
1138 19510 154
1139 19500 154
1140 19621 154
1141 19995 154
1142 19547 154
1143 19628 154
1144 19769 154
1145 19451 154
1146 19714 154
1147 19949 154
1148 20012 155
1149 19425 153
1150 19701 154
1151 19673 153
1152 19587 154
1153 19575 154
1154 19919 154
1155 19845 154
1156 19422 153
1157 19353 153
1158 19757 154
1159 19503 154
1160 19426 153
1161 20037 154
1162 19157 153
1163 19421 153
1164 19383 153
1165 19888 154
1166 19982 154
1167 19796 154
1168 19464 154
1169 19645 154
1170 19396 153
1171 19531 154
1172 19891 154
1173 19798 154
1174 19681 154
1175 19735 154
1176 19739 154
1177 19513 153
1178 19652 154
1179 19396 153
1180 19846 154
1181 19599 154
1182 19640 154
1183 19830 154
1184 19791 154
1185 19798 154
1186 19167 153
1187 19543 154
1188 19357 153
1189 19657 153
1190 19902 154
1191 19359 153
1192 19993 155
1193 19632 154
1194 19623 154
1195 20185 155
1196 19721 154
1197 19436 154
1198 19758 154
1199 19528 154
1200 19684 154
1201 19794 154
1202 19730 154
1203 19694 154
1204 19579 154
1205 19723 154
1206 19455 153
1207 19761 154
1208 19572 154
1209 19697 154
1210 19556 153
1211 19732 154
1212 19811 154
1213 19614 153
1214 19364 153
1215 19779 154
1216 19743 154
1217 19878 154
1218 19856 154
1219 19613 154
1220 19228 153
1221 19692 154
1222 19617 154
1223 19731 154
1224 19279 153
1225 19453 153
1226 19310 153
1227 19575 154
1228 19771 154
1229 20110 154
1230 19832 154
1231 19545 154
1232 19368 153
1233 19215 153
1234 19713 154
1235 19710 154
1236 19701 154
1237 19795 154
1238 19521 153
1239 19977 154
1240 19445 154
1241 19479 153
1242 19599 154
1243 19500 154
1244 19853 154
1245 19570 154
1246 19674 154
1247 19661 154
1248 19812 154
1249 19537 154
1250 19144 153
1251 19650 154
1252 19492 154
1253 19395 153
1254 19466 153
1255 19265 153
1256 19423 153
1257 19506 153
1258 19513 154
1259 19388 153
1260 19436 154
1261 19555 154
1262 19173 153
1263 19304 153
1264 19434 154
1265 19371 153
1266 19859 154
1267 19915 154
1268 19770 154
1269 19425 154
1270 19451 154
1271 19689 154
1272 19594 154
1273 19599 154
1274 19709 154
1275 19989 154
1276 19475 154
1277 19634 154
1278 19517 154
1279 19011 153
1280 19633 154
1281 19595 154
1282 19887 155
1283 19111 153
1284 19323 153
1285 19426 153
1286 19997 154
1287 19635 154
1288 19157 153
1289 19855 154
1290 19606 153
1291 19343 153
1292 19311 153
1293 19305 153
1294 19561 154
1295 19451 153
1296 19607 154
1297 19619 154
1298 19727 154
1299 19347 153
1300 19622 154
1301 19378 153
1302 19678 154
1303 19118 153
1304 19534 154
1305 19808 154
1306 19639 154
1307 19808 154
1308 19619 154
1309 19409 153
1310 19586 154
1311 19324 153
1312 19457 153
1313 19338 153
1314 19753 154
1315 19811 154
1316 19767 154
1317 19756 154
1318 19481 154
1319 19425 154
1320 19810 154
1321 19536 154
1322 19187 153
1323 19200 153
1324 19879 154
1325 19711 154
1326 19113 153
1327 19744 155
1328 19727 154
1329 19579 153
1330 19380 153
1331 19677 154
1332 19237 153
1333 19712 154
1334 19669 154
1335 19990 154
1336 19618 154
1337 19463 153
1338 19589 154
1339 19964 154
1340 19569 154
1341 19600 154
1342 19403 153
1343 19573 154
1344 19818 154
1345 19522 153
1346 19634 153
1347 19779 154
1348 19603 154
1349 19570 154
1350 19420 153
1351 19886 154
1352 19693 154
1353 19840 154
1354 19897 154
1355 19862 154
1356 19520 153
1357 19580 154
1358 19620 154
1359 19929 154
1360 19376 153
1361 19808 154
1362 19240 153
1363 19845 154
1364 19548 153
1365 19535 153
1366 19276 153
1367 19668 154
1368 19592 153
1369 19744 154
1370 19957 154
1371 19394 153
1372 19927 154
1373 19693 154
1374 19414 153
1375 19344 153
1376 19323 153
1377 19752 154
1378 19940 154
1379 19410 153
1380 19051 153
1381 19062 153
1382 19434 153
1383 19314 153
1384 19726 154
1385 19932 154
1386 19563 154
1387 19245 153
1388 19623 154
1389 19314 153
1390 19507 154
1391 19774 154
1392 19336 153
1393 19514 154
1394 19363 153
1395 19666 154
1396 19522 153
1397 19285 153
1398 19470 153
1399 19207 153
1400 19598 154
1401 19414 153
1402 19047 153
1403 19945 154
1404 19093 153
1405 19179 153
1406 19193 153
1407 19494 154
1408 19640 154
1409 19891 154
1410 19128 153
1411 17902 153
1412 19277 153
1413 19312 153
1414 19403 153
1415 19450 153
1416 19649 154
1417 19890 154
1418 19383 153
1419 19879 154
1420 19793 154
1421 19548 153
1422 19491 153
1423 19507 153
1424 19587 154
1425 19850 154
1426 19740 154
1427 19640 153
1428 20118 154
1429 19813 154
